cur_ost_ind,loan_condition,dti_group,income_group,home_ownership,purpose,term,interest_payments,annual_inc,tot_loan_amount,avg_interest_rate,tot_upb,gco_units,avg_dti,tot_units
No,Bad Loan,"(10,20]","(100k,125k]",mortgage,car,36 months,Low,113000,32300,8.323333333333334,19819.81,3,15.616666666666667,3
No,Bad Loan,"(10,20]","(100k,125k]",mortgage,car,60 months,High,113333.33333333333,79050,21.576666666666668,64127.159999999996,3,14.74,3
No,Bad Loan,"(10,20]","(100k,125k]",mortgage,car,60 months,Low,114600,5500,10,4292.1900000000005,1,13.61,1
No,Bad Loan,"(10,20]","(100k,125k]",mortgage,credit_card,36 months,High,112534,773225,16.026470588235295,384980.72,34,16.139411764705883,34
No,Bad Loan,"(10,20]","(100k,125k]",mortgage,credit_card,36 months,Low,111308.62666666666,1373750,9.836266666666667,882267.71,75,15.1332,75
No,Bad Loan,"(10,20]","(100k,125k]",mortgage,credit_card,60 months,High,113513.70588235294,2131925,17.586,1731933.98,85,15.306235294117647,85
No,Bad Loan,"(10,20]","(100k,125k]",mortgage,credit_card,60 months,Low,114776.57142857143,351850,11.072142857142858,293682.59,14,15.277142857142858,14
No,Bad Loan,"(10,20]","(100k,125k]",mortgage,debt_consolidation,36 months,High,113388.71634615384,4455150,16.310673076923077,2978777.54,208,15.086298076923077,208
No,Bad Loan,"(10,20]","(100k,125k]",mortgage,debt_consolidation,36 months,Low,113967.53731343284,3486500,10.489601990049751,2293395.62,201,15.0218407960199,201
No,Bad Loan,"(10,20]","(100k,125k]",mortgage,debt_consolidation,60 months,High,113176.41315789474,9957175,19.164684210526314,8231713.26,380,15.222052631578947,380
No,Bad Loan,"(10,20]","(100k,125k]",mortgage,debt_consolidation,60 months,Low,112318.61363636363,1000000,11.859318181818182,763646.43,44,15.466363636363637,44
No,Bad Loan,"(10,20]","(100k,125k]",mortgage,educational,36 months,High,121900,15000,13.47,10573.91,1,14.28,1
No,Bad Loan,"(10,20]","(100k,125k]",mortgage,home_improvement,36 months,High,114383.93103448275,498550,16.640689655172412,305844.74,29,14.627241379310345,29
No,Bad Loan,"(10,20]","(100k,125k]",mortgage,home_improvement,36 months,Low,113572.72727272728,277950,10.107272727272727,177805.65,22,15.654545454545454,22
No,Bad Loan,"(10,20]","(100k,125k]",mortgage,home_improvement,60 months,High,112833.54,1325150,19.4284,1121824.45,50,14.4894,50
No,Bad Loan,"(10,20]","(100k,125k]",mortgage,home_improvement,60 months,Low,107800,98200,11.97,83210.43,5,14.662,5
No,Bad Loan,"(10,20]","(100k,125k]",mortgage,house,36 months,High,124800,35000,19.24,34085.78,1,13.62,1
No,Bad Loan,"(10,20]","(100k,125k]",mortgage,house,36 months,Low,103000,5000,10.16,4394.75,1,14.82,1
No,Bad Loan,"(10,20]","(100k,125k]",mortgage,house,60 months,High,117500,45000,20.97,30486.32,2,12.545,2
No,Bad Loan,"(10,20]","(100k,125k]",mortgage,house,60 months,Low,120000,18000,8.9,13147.11,1,12.74,1
No,Bad Loan,"(10,20]","(100k,125k]",mortgage,major_purchase,36 months,High,110666.66666666667,103750,16.218333333333334,70164.33,6,14.061666666666667,6
No,Bad Loan,"(10,20]","(100k,125k]",mortgage,major_purchase,36 months,Low,114798.7,124550,10.302,74230.84,10,15.325,10
No,Bad Loan,"(10,20]","(100k,125k]",mortgage,major_purchase,60 months,High,115833.33333333333,154600,21.939999999999998,146892.6,6,14.978333333333333,6
No,Bad Loan,"(10,20]","(100k,125k]",mortgage,medical,36 months,High,111300,32600,17.555,25012.58,4,14.76,4
No,Bad Loan,"(10,20]","(100k,125k]",mortgage,medical,36 months,Low,106497,6200,9.415,5497.92,2,18.735,2
No,Bad Loan,"(10,20]","(100k,125k]",mortgage,medical,60 months,High,117650,80600,19.48,63858.14,4,17.5425,4
No,Bad Loan,"(10,20]","(100k,125k]",mortgage,moving,36 months,High,110000,8500,21.99,5837.93,1,15.4,1
No,Bad Loan,"(10,20]","(100k,125k]",mortgage,moving,36 months,Low,102000,3200,13.11,526.7800000000002,1,17.71,1
No,Bad Loan,"(10,20]","(100k,125k]",mortgage,moving,60 months,High,115500,119975,19.46,102211.34,4,16.9075,4
No,Bad Loan,"(10,20]","(100k,125k]",mortgage,other,36 months,High,112919.71875,492775,16.865,362922.16,32,14.91125,32
No,Bad Loan,"(10,20]","(100k,125k]",mortgage,other,36 months,Low,114429.14285714286,75850,10.335714285714285,54814.99,7,13.782857142857143,7
No,Bad Loan,"(10,20]","(100k,125k]",mortgage,other,60 months,High,112521.87096774194,722825,20.836774193548386,602284.7000000001,31,15.346129032258064,31
No,Bad Loan,"(10,20]","(100k,125k]",mortgage,other,60 months,Low,122748,3000,12.73,2503.0299999999997,1,19.29,1
No,Bad Loan,"(10,20]","(100k,125k]",mortgage,small_business,36 months,High,114568.23529411765,325350,17.512941176470587,260404.4,17,15.461764705882352,17
No,Bad Loan,"(10,20]","(100k,125k]",mortgage,small_business,36 months,Low,105000,10850,9.99,10590.28,1,13.54,1
No,Bad Loan,"(10,20]","(100k,125k]",mortgage,small_business,60 months,High,114038.15384615384,383025,20.28076923076923,323331.29,13,15.240769230769232,13
No,Bad Loan,"(10,20]","(100k,125k]",mortgage,small_business,60 months,Low,105000,35000,11.71,21739.61,1,16.97,1
No,Bad Loan,"(10,20]","(100k,125k]",mortgage,vacation,36 months,Low,111000,1500,10.16,932.14,1,16.97,1
No,Bad Loan,"(10,20]","(100k,125k]",mortgage,wedding,36 months,High,114800,46950,17.906,22242.02,5,15.858,5
No,Bad Loan,"(10,20]","(100k,125k]",mortgage,wedding,60 months,High,105000,25000,13.8,16970.3,1,16.27,1
